IPA,Unrounded,Rounded,Front,Central,Back,Close,Near-close,Close-mid,Mid,Open-mid,Near-open,Open,Rhotic
i,1,0,1,0,0,1,0,0,0,0,0,0,0
y,0,1,1,0,0,1,0,0,0,0,0,0,0
ɨ,1,0,0,1,0,1,0,0,0,0,0,0,0
ʉ,0,1,0,1,0,1,0,0,0,0,0,0,0
ɯ,1,0,0,0,1,1,0,0,0,0,0,0,0
u,0,1,0,0,1,1,0,0,0,0,0,0,0
ɪ,1,0,1,0,0,0,1,0,0,0,0,0,0
ʏ,0,1,1,0,0,0,1,0,0,0,0,0,0
ɨ̞,1,0,0,1,0,0,1,0,0,0,0,0,0
ʉ̞,0,1,0,1,0,0,1,0,0,0,0,0,0
ɯ̞,1,0,0,0,1,0,1,0,0,0,0,0,0
ʊ,0,1,0,0,1,0,1,0,0,0,0,0,0
e,1,0,1,0,0,0,0,1,0,0,0,0,0
ø,0,1,1,0,0,0,0,1,0,0,0,0,0
ɘ,1,0,0,1,0,0,0,1,0,0,0,0,0
ɵ,0,1,0,1,0,0,0,1,0,0,0,0,0
ɤ,1,0,0,0,1,0,0,1,0,0,0,0,0
o,0,1,0,0,1,0,0,1,0,0,0,0,0
e̞,1,0,1,0,0,0,0,0,1,0,0,0,0
ø̞,0,1,1,0,0,0,0,0,1,0,0,0,0
ə,1,0,0,1,0,0,0,0,1,0,0,0,0
ɤ̞,1,0,0,0,1,0,0,0,1,0,0,0,0
o̞,0,1,0,0,1,0,0,0,1,0,0,0,0
ɛ,1,0,1,0,0,0,0,0,0,1,0,0,0
œ,0,1,1,0,0,0,0,0,0,1,0,0,0
ɜ,1,0,0,1,0,0,0,0,0,1,0,0,0
ɞ,0,1,0,1,0,0,0,0,0,1,0,0,0
ʌ,1,0,0,0,1,0,0,0,0,1,0,0,0
ɔ,0,1,0,0,1,0,0,0,0,1,0,0,0
æ,1,0,1,0,0,0,0,0,0,0,1,0,0
ɐ,1,0,0,1,0,0,0,0,0,0,1,0,0
a,1,0,1,0,0,0,0,0,0,0,0,1,0
ɶ,0,1,1,0,0,0,0,0,0,0,0,1,0
ä,1,0,0,1,0,0,0,0,0,0,0,1,0
ɒ̈,0,1,0,1,0,0,0,0,0,0,0,1,0
ɑ,1,0,0,0,1,0,0,0,0,0,0,1,0
ɒ,0,1,0,0,1,0,0,0,0,0,0,1,0
ɚ,1,0,0,1,0,0,0,0,1,0,0,0,1
